"","institution","state","plan","city","sector","groffer","hbcu","hospital","locale","c18ugprf","f1systyp","countynm","Size","Application","Enrollment","Endowment","Total_Expense","Total_Revenue","Total_Liabilities","Tuition","Total_Asset","Type","Gift","calsys","slo","dstnugc","dstngc","distcrs","disabpct","alloncam","room","roomcap","board","indistrictug","instateug","outstateug","indistrictg","instateg","outstateg","eftotlt_1","eftotlt_2","eftotlt_12","eftotlt_21","eftotlt_22","eftotlt_32","eftotlt_41","eftotlt_42","eftotlt_52","number_locations","internationals","efdeexc_1","efdeexc_2","efdeexc_3","efdeexc_12","efdesom_1","efdesom_2","efdesom_3","efdesom_12","rrptct","stufacr","eaptot_10000","eaptot_10050","eaptot_27000","eaptot_30000","eaptot_37000","eaptot_10010","eaptot_10020","eaptot_10030","eappt_10000","eappt_10050","eappt_27000","eappt_30000","eappt_37000","eappt_10010","eappt_10020","eappt_10030","state.cases","state.deaths","county.cases","county.deaths","sainstt_7","sa_9mct_7","satotlt_7","sa09mct_7","sa10mct_7","sa11mct_7","sa12mct_7","saoutlt_7","sa09mot_7","sa10mot_7","sa11mot_7","sa12mot_7","saeq9ot_7","saeq9at_7","sa09mat_7","sa10mat_7","sa11mat_7","sa12mat_7","sainstt_1","sa_9mct_1","satotlt_1","sa09mct_1","sa10mct_1","sa11mct_1","sa12mct_1","saoutlt_1","sa09mot_1","sa10mot_1","sa11mot_1","sa12mot_1","saeq9ot_1","saeq9at_1","sa09mat_1","sa10mat_1","sa11mat_1","sa12mat_1","sainstt_2","sa_9mct_2","satotlt_2","sa09mct_2","sa10mct_2","sa11mct_2","sa12mct_2","saoutlt_2","sa09mot_2","sa10mot_2","sa11mot_2","sa12mot_2","saeq9ot_2","saeq9at_2","sa09mat_2","sa10mat_2","sa11mat_2","sa12mat_2","sainstt_3","sa_9mct_3","satotlt_3","sa09mct_3","sa10mct_3","sa11mct_3","sa12mct_3","saoutlt_3","sa09mot_3","sa10mot_3","sa11mot_3","sa12mot_3","saeq9ot_3","saeq9at_3","sa09mat_3","sa10mat_3","sa11mat_3","sa12mat_3","sainstt_4","sa_9mct_4","satotlt_4","sa09mct_4","sa10mct_4","sa11mct_4","sa12mct_4","saoutlt_4","sa09mot_4","sa10mot_4","sa11mot_4","sa12mot_4","saeq9ot_4","saeq9at_4","sa09mat_4","sa10mat_4","sa11mat_4","sa12mat_4","sainstt_5","sa_9mct_5","satotlt_5","sa09mct_5","sa10mct_5","sa11mct_5","sa12mct_5","saoutlt_5","sa09mot_5","sa10mot_5","sa11mot_5","sa12mot_5","saeq9ot_5","saeq9at_5","sa09mat_5","sa10mat_5","sa11mat_5","sa12mat_5","sainstt_6","sa_9mct_6","satotlt_6","sa09mct_6","sa10mct_6","sa11mct_6","sa12mct_6","saoutlt_6","sa09mot_6","sa10mot_6","sa11mot_6","sa12mot_6","saeq9ot_6","saeq9at_6","sa09mat_6","sa10mat_6","sa11mat_6","sa12mat_6","sanin01","sanin02","sanin03","sanin04","sanin05","sanin06","sanin07","sanin08","sanin09","sanin10","sanin11","sanin12","sanin13","sanin14","sanit01","sanit02","sanit03","sanit04","sanit05","sanit06","sanit07","sanit08","sanit09","sanit10","sanit11","sanit12","sanit13","sanit14","text_length","Sent_Score","Sentiment"
"612","West Liberty University","WV","Planning for in-person","West Liberty",0,0,1,1,9,10,1,"Ohio",1,1857,468,13080711,39518020,40675965,27289823,14272853,84982017,"Public",NA,0,0,1,1,1,NA,1,0,1539,1,7680,7680,7680,5920,5920,7320,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,10,133,23,23,110,594,562,562,32,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,74,41,1,144,0,144,109,19,3,13,9046622,6334946,1391505,262342,1057829,8595268,59689,58119,73237,87447,81371,32,0,32,20,7,0,5,2398071,1358510,560089,0,479472,2222194,69444,67926,80013,NA,95894,39,0,39,27,6,3,3,2797934,1754225,467978,262342,313389,2625043,67309,64971,77996,87447,104463,50,0,50,42,4,0,4,2774322,2311257,246693,0,216372,2695560,53911,55030,61673,NA,54093,22,0,22,19,2,0,1,1030096,864755,116745,0,48596,1006273,45740,45513,58373,NA,48596,1,0,1,1,0,0,0,46199,46199,0,0,0,46199,46199,46199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,0,0,14,31,5,4,45,4,19,0,37,9,0,7122207,0,0,511625,1995635,244226,186497,1833672,205784,612915,0,1246174,285679,0,2279,0.9902,"Positive"
"613","West Virginia University","WV","Considering a range of scenarios","Morgantown",0,0,1,1,2,11,0,"Monongalia",4,18639,4714,671533630,1085974790,1127074208,1139393053,411795824,2238381693,"Public",NA,0,0,1,1,1,5,1,0,7210,0,8856,8856,8856,9990,9990,25776,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,33,2577,1158,608,1419,5231,4722,4684,509,11,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,74,141,5,1147,0,1147,897,8,2,240,111905213,77386449,621181,266061,33631522,103386791,90137,86273,77648,133031,140131,341,0,341,234,0,2,105,46821036,27375309,0,266061,19179666,41977696,123102,116989,NA,133031,182663,348,0,348,291,1,0,56,31420483,24480189,90832,0,6849462,29699034,85342,84124,90832,NA,122312,347,0,347,297,4,0,46,26596372,21627969,355200,0,4613203,25407551,73221,72821,88800,NA,100287,64,0,64,49,0,0,15,3082095,2374454,0,0,707641,2905185,45394,48458,NA,NA,47176,2,0,2,2,0,0,0,85937,85937,0,0,0,85937,42969,42969,NA,NA,NA,45,0,45,24,3,0,18,3899290,1442591,175149,0,2281550,3311388,73586,60108,58383,NA,126753,2978,49,135,84,590,210,331,345,57,427,2,502,226,20,167195478,2947418,9035676,4887105,50026990,12240076,20739421,23668685,3395806,12143093,75419,19131345,8135178,769266,7620,0.9989,"Positive"
"614","West Virginia Wesleyan College","WV","Planning for in-person","Buckhannon",1,0,1,1,8,11,1,"Upshur",1,2159,322,50310418,30983543,35051830,25612590,15925788,76246933,"Private non-profit",2543834,0,0,1,1,1,8,1,0,1177,0,30462,30462,30462,11610,11610,11610,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,18,38,7,7,31,327,244,244,83,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,74,8,0,69,0,69,59,6,4,0,3778763,3159551,349851,269361,0,3694754,53547,53552,58309,67340,NA,9,0,9,8,0,1,0,617755,525865,0,91890,0,601031,66781,65733,NA,91890,NA,23,0,23,19,3,1,0,1353032,1095554,197025,60453,0,1322327,57492,57661,65675,60453,NA,35,0,35,31,2,2,0,1718211,1496132,105061,117018,0,1686408,48183,48262,52531,58509,NA,2,0,2,1,1,0,0,89765,42000,47765,0,0,84989,42494,42000,47765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,0,0,11,30,7,8,38,4,31,1,17,16,2,6430660,0,0,401835,2039740,313626,390535,1243182,156695,799486,22660,459473,539218,64210,804,0.8769,"Positive"
"615","Western State Colorado University","CO","Planning for in-person","Gunnison",0,0,1,1,8,12,1,"Gunnison",1,1975,501,17477389,63593387,56232079,133875179,23770836,155737646,"Public",NA,0,0,1,1,1,6,1,0,1241,0,6624,6624,6624,17949,17949,17949,3034,2606,428,2145,1883,262,889,723,166,42,0,143,2,1,141,275,143,142,132,2,14,386,144,20,29,20,173,58,31,60,13,2,0,5,41,0,0,25116,1422,179,6,129,0,129,129,0,0,0,7849048,7849048,0,0,0,7849048,60845,60845,NA,NA,NA,45,0,45,45,0,0,0,3276837,3276837,0,0,0,3276837,72819,72819,NA,NA,NA,16,0,16,16,0,0,0,1163379,1163379,0,0,0,1163379,72711,72711,NA,NA,NA,25,0,25,25,0,0,0,1478142,1478142,0,0,0,1478142,59126,59126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,0,43,43,0,0,0,1930690,1930690,0,0,0,1930690,44900,44900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,0,0,23,29,17,15,48,2,36,1,15,11,0,9645949,0,0,936344,2526133,846493,943913,2004482,94000,1148660,32000,588456,525468,0,3596,0.4294,"Positive"
"616","Western Michigan University","MI","Planning for in-person","Kalamazoo",0,0,1,1,2,12,1,"Kalamazoo",4,17051,2990,408264116,558026398,588669160,933867173,243427391,1262524847,"Public",NA,0,0,1,1,1,5,1,0,5912,0,11560,11560,11560,15638,15638,29569,22562,17760,4802,16030,14983,1047,6532,2777,3755,36,18,1236,684,660,552,4416,4065,4053,351,40,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55944,5372,820,54,871,0,871,788,13,0,70,80393051,73724998,830910,0,5837143,78850674,90529,93560,63916,NA,83388,359,0,359,355,0,0,4,40350126,39920693,0,0,429433,40242768,112097,112453,NA,NA,107358,251,0,251,224,6,0,21,21888682,19354626,443271,0,2090785,21321659,84947,86405,73879,NA,99561,182,0,182,161,2,0,19,13458467,11881454,92872,0,1484141,13078145,71858,73798,46436,NA,78113,79,0,79,48,5,0,26,4695776,2568225,294767,0,1832784,4208103,53267,53505,58953,NA,70492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1755,0,0,245,88,232,195,141,30,322,1,322,141,38,102487354,0,0,12848355,12927457,15274274,13854632,9445120,2028647,12763510,64291,12969736,7630218,2681114,5058,0.9324,"Positive"
"617","Western Washington University","WA","Planning for in-person","Bellingham",0,0,1,1,2,14,1,"Whatcom",3,11124,3117,85226097,333713478,320208535,286229091,113443927,644599285,"Public",NA,1,0,1,1,1,6,1,0,4144,1,7035,7035,7035,10350,10350,21474,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,9,133,108,103,25,692,659,657,33,42,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21825,1116,383,36,639,38,601,552,36,1,12,54958309,48911284,4306421,73333,1667271,54097503,90012,88607,119623,73333,138939,215,0,215,178,30,0,7,24382696,19558635,3716829,0,1107232,23734205,110392,109880,123894,NA,158176,164,0,164,158,5,0,1,14630467,13982293,472899,0,175275,14539358,88655,88496,94580,NA,175275,148,0,148,147,0,0,1,11298947,11186472,0,0,112475,11270828,76154,76098,NA,NA,112475,112,38,74,69,1,1,3,4646199,4183884,116693,73333,272289,4553111,61529,60636,116693,73333,90763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1082,0,0,80,75,163,146,85,28,123,1,286,77,18,68226797,0,0,4732889,9996345,11331192,9961403,4865509,1934789,5345206,39204,14662289,4448388,909583,6396,0.9971,"Positive"
"618","Westminster College","MO","Planning for in-person","New Wilmington",1,0,1,1,6,11,1,"Lawrence",1,3011,348,123411062,40905685,45394333,43943385,15592875,173816864,"Private non-profit",6209346,0,0,1,1,1,8,1,0,1018,0,35360,35360,35360,8298,8298,8298,1269,1198,71,1170,1164,6,99,34,65,17,NA,49,0,0,49,0,0,0,0,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12815,715,74,8,89,0,89,89,0,0,0,5510793,5510793,0,0,0,5510793,61919,61919,NA,NA,NA,24,0,24,24,0,0,0,1788525,1788525,0,0,0,1788525,74522,74522,NA,NA,NA,36,0,36,36,0,0,0,2171529,2171529,0,0,0,2171529,60320,60320,NA,NA,NA,16,0,16,16,0,0,0,902364,902364,0,0,0,902364,56398,56398,NA,NA,NA,4,0,4,4,0,0,0,199308,199308,0,0,0,199308,49827,49827,NA,NA,NA,9,0,9,9,0,0,0,449067,449067,0,0,0,449067,49896,49896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,0,0,8,31,12,16,28,5,33,0,36,9,0,8199453,0,0,307704,2270754,693555,939156,1278246,249433,928658,0,1107378,424569,0,2557,0.9183,"Positive"
"619","Wheaton College","MA","Planning for in-person","Wheaton",1,0,1,1,3,13,1,"DuPage",1,1850,610,489131245,126804949,186834680,170717410,58939283,734480403,"Private non-profit",34897299,0,0,0,1,1,6,1,0,2170,0,36420,36420,36420,20400,20400,20400,2944,2401,543,2601,2326,275,343,75,268,46,37,50,NA,NA,50,5,NA,NA,5,0,10,1015,400,42,60,165,343,141,59,276,92,32,0,65,110,6,0,94895,6640,7479,351,224,0,224,223,0,0,1,18715002,18621289,0,0,93713,18691574,83445,83504,NA,NA,93713,67,0,67,67,0,0,0,6669890,6669890,0,0,0,6669890,99551,99551,NA,NA,NA,89,0,89,89,0,0,0,7484064,7484064,0,0,0,7484064,84091,84091,NA,NA,NA,61,0,61,60,0,0,1,4133618,4039905,0,0,93713,4110190,67380,67332,NA,NA,93713,7,0,7,7,0,0,0,427430,427430,0,0,0,427430,61061,61061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,0,0,33,60,129,35,56,4,65,3,100,28,2,30834386,0,0,1910292,6371325,7905825,2164784,3390560,166288,2712816,171223,4188710,1774463,78100,4744,0.9979,"Positive"
"620","Whitworth University","WA","Planning for in-person","Spokane",1,0,1,1,3,13,0,"Spokane",1,3731,696,151179044,77580893,90949324,107659201,48364636,214900141,"Private non-profit",12448816,3,0,1,1,1,NA,1,0,1365,0,42540,42540,42540,12168,12168,12168,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,10,49,5,5,44,38,0,0,38,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21825,1116,544,31,184,0,184,171,10,2,1,12156887,11133586,733932,164712,124657,12022352,65339,65109,73393,82356,124657,43,0,43,41,1,0,1,3692064,3474189,93218,0,124657,3651578,84920,84736,93218,NA,124657,52,0,52,48,4,0,0,3714079,3411196,302883,0,0,3683791,70842,71067,75721,NA,NA,45,0,45,39,4,2,0,2969071,2533828,270531,164712,0,2912040,64712,64970,67633,82356,NA,10,0,10,9,1,0,0,603828,536528,67300,0,0,597098,59710,59614,67300,NA,NA,34,0,34,34,0,0,0,1177845,1177845,0,0,0,1177845,34643,34643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,0,0,13,60,27,29,60,4,49,1,53,13,4,16883622,0,0,726958,5704681,1372224,1599085,2852838,184393,1616973,34361,1913708,701310,177091,5472,0.9994,"Positive"
"621","Wichita State University","KS","Proposing a hybrid model","Wichita",0,0,1,1,0,8,0,"Sedgwick",3,5799,1648,264339000,312626421,318072731,154793497,101225002,382501590,"Public",NA,0,0,1,1,1,NA,1,0,1396,0,6709,6709,6709,5435,5435,13348,15778,13006,2772,10055,8855,1200,5723,4151,1572,33,NA,2588,2016,1234,572,7117,5855,5819,1262,39,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9512,209,573,21,548,0,548,424,36,0,88,41193434,30929966,2816361,0,7447107,39050021,71259,72948,78232,NA,84626,147,0,147,111,9,0,27,14334101,10703734,874282,0,2756085,13557652,92229,96430,97142,NA,102077,177,0,177,128,17,0,32,13426700,9115662,1498267,0,2812771,12573681,71038,71216,88133,NA,87899,197,0,197,162,9,0,26,11860405,9898092,408812,0,1553501,11431149,58026,61099,45424,NA,59750,5,0,5,4,0,0,1,228500,137500,0,0,91000,205750,41150,34375,NA,NA,91000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,22,19,1,0,2,1343728,1074978,35000,0,233750,1281791,58263,56578,35000,NA,116875,1451,0,0,13,184,150,361,254,19,152,2,246,61,9,79023961,0,0,519872,18863165,7986302,22666776,11829612,889119,4773910,56000,8882517,2252834,303854,2823,0.9235,"Positive"
"622","Willamette University","OR","Planning for in-person","Salem",1,0,1,1,1,9,1,"Marion",1,4206,389,258630000,93042000,107504000,109818000,56294000,361102000,"Private non-profit",9754000,0,0,0,0,0,10,1,0,1376,1,49750,49750,49750,41900,41900,41900,2363,1808,555,2291,1759,532,72,49,23,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086,151,931,25,187,0,187,187,0,0,0,18631294,18631294,0,0,0,18631294,99633,99633,NA,NA,NA,81,0,81,81,0,0,0,9787401,9787401,0,0,0,9787401,120832,120832,NA,NA,NA,62,0,62,62,0,0,0,5852575,5852575,0,0,0,5852575,94396,94396,NA,NA,NA,35,0,35,35,0,0,0,2406664,2406664,0,0,0,2406664,68762,68762,NA,NA,NA,9,0,9,9,0,0,0,584654,584654,0,0,0,584654,64962,64962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,0,0,23,129,4,23,52,1,57,0,55,0,3,20919275,0,0,1256148,11375358,209433,1136185,2628796,74000,2056255,0,2075255,0,107845,3809,0.9981,"Positive"
"623","William Jessup University","CA","Planning for in-person","Rocklin",1,0,1,1,9,12,1,"Placer",1,897,210,3131316,33922777,35598578,79677407,23274976,23799866,"Private non-profit",5805390,0,1,1,1,1,7,1,0,624,0,32950,32950,32950,11340,11340,11340,1695,1257,438,1380,1030,350,315,227,88,11,0,88,33,33,55,474,472,472,2,1,12,434,136,37,28,36,239,11,36,242,47,18,0,11,182,0,0,104071,4042,196,9,43,0,43,0,43,0,0,2970189,0,2970189,0,0,2673170,62167,NA,69074,NA,NA,7,0,7,0,7,0,0,540727,0,540727,0,0,486654,69522,NA,77247,NA,NA,14,0,14,0,14,0,0,980247,0,980247,0,0,882222,63016,NA,70018,NA,NA,22,0,22,0,22,0,0,1449215,0,1449215,0,0,1304294,59286,NA,65873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,0,0,20,28,12,9,32,2,20,1,25,0,0,8350137,0,0,1030434,2754408,660087,482782,1511367,96588,787762,49970,976739,0,0,2714,0.994,"Positive"
"624","William Jewell College","MO","Planning for in-person","Liberty",1,0,1,1,3,13,1,"Clay",0,1316,167,63796417,36077983,37584576,28315966,11491150,110607431,"Private non-profit",11265328,0,0,1,0,1,8,1,0,1065,1,33505,33505,33505,4800,4800,4800,808,803,5,779,779,NA,29,24,5,20,3,0,0,0,NA,138,138,138,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12815,715,162,3,70,0,70,58,11,1,0,4341594,3418909,833128,89557,0,4241982,60600,58947,75739,89557,NA,26,0,26,17,8,1,0,1925878,1210145,626176,89557,0,1846961,71037,71185,78272,89557,NA,11,0,11,11,0,0,0,641026,641026,0,0,0,641026,58275,58275,NA,NA,NA,30,0,30,27,3,0,0,1644625,1437673,206952,0,0,1623930,54131,53247,68984,NA,NA,3,0,3,3,0,0,0,130065,130065,0,0,0,130065,43355,43355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,0,0,4,28,11,7,33,1,2,1,23,9,0,6082122,0,0,186716,2429682,520742,351634,1361335,29723,64480,32760,761621,343429,0,2002,0.9534,"Positive"
"625","Williams College","MA","Waiting to decide","Williamstown",1,0,1,1,6,13,1,"Berkshire",1,9560,533,2626266560,249006594,505200179,781013562,68826601,3089864263,"Private non-profit",68672142,3,0,0,0,0,15,0,0,2014,0,55140,55140,55140,54005,54005,54005,2149,2095,54,2096,2042,54,53,53,NA,45,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94895,6640,539,40,320,0,320,317,0,0,3,36734200,36549690,0,0,184510,36688073,114650,115299,NA,NA,61503,147,0,147,147,0,0,0,21703681,21703681,0,0,0,21703681,147644,147644,NA,NA,NA,32,0,32,32,0,0,0,3379401,3379401,0,0,0,3379401,105606,105606,NA,NA,NA,77,0,77,77,0,0,0,6839463,6839463,0,0,0,6839463,88824,88824,NA,NA,NA,5,0,5,5,0,0,0,523249,523249,0,0,0,523249,104650,104650,NA,NA,NA,9,0,9,9,0,0,0,1004251,1004251,0,0,0,1004251,111583,111583,NA,NA,NA,50,0,50,47,0,0,3,3284155,3099645,0,0,184510,3238028,64761,65950,NA,NA,61503,730,0,0,81,137,59,74,57,0,167,0,108,35,12,50188144,0,0,2226427,17753049,4243494,5843200,4700912,0,7552408,0,4916531,2286232,665891,3775,0.9963,"Positive"
"626","Winona State University","MN","Waiting to decide","Winona",0,0,1,1,7,12,0,"Winona",2,7744,1537,40155000,160019000,155427000,162866000,44268000,260062000,"Public",NA,0,0,1,1,1,6,1,0,2240,0,7377,7377,7377,7260,7260,10540,7792,7237,555,6457,6324,133,1335,913,422,23,7,290,172,163,118,1703,1544,1537,159,11,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22957,977,78,15,318,0,318,318,0,0,0,26089455,26089455,0,0,0,26089455,82042,82042,NA,NA,NA,126,0,126,126,0,0,0,12319773,12319773,0,0,0,12319773,97776,97776,NA,NA,NA,78,0,78,78,0,0,0,6129919,6129919,0,0,0,6129919,78589,78589,NA,NA,NA,97,0,97,97,0,0,0,6823676,6823676,0,0,0,6823676,70347,70347,NA,NA,NA,17,0,17,17,0,0,0,816087,816087,0,0,0,816087,48005,48005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,0,0,70,20,37,46,59,1,51,2,48,22,0,23854980,0,0,4636929,2999020,2360884,4040912,3655253,80910,2232214,125969,2335264,1387625,0,223,0,"Neutral"
"627","Wittenberg University","OH","Planning for in-person","Springfield",1,0,1,1,2,11,1,"Clark",1,7393,484,115955756,52889874,72904132,65387321,26756908,170219167,"Private non-profit",23022205,0,0,1,0,1,11,1,0,1662,1,38680,38680,38680,12534,12534,12534,1801,1757,44,1693,1681,12,108,76,32,22,2,0,0,0,NA,5,5,5,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33915,2098,234,5,121,0,121,121,0,0,0,7850458,7850458,0,0,0,7850458,64880,64880,NA,NA,NA,43,0,43,43,0,0,0,3177820,3177820,0,0,0,3177820,73903,73903,NA,NA,NA,42,0,42,42,0,0,0,2622070,2622070,0,0,0,2622070,62430,62430,NA,NA,NA,36,0,36,36,0,0,0,2050568,2050568,0,0,0,2050568,56960,56960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,0,0,17,35,21,13,44,3,19,0,55,13,1,10987497,0,0,885355,3431342,988159,693976,1812646,132055,765960,0,1599966,652662,25376,2116,0.9746,"Positive"
"628","Wofford College","SC","Waiting to decide","Spartanburg",1,1,1,1,2,13,1,"Spartanburg",1,3520,465,205990556,71831205,88646969,106742974,29814947,353597194,"Private non-profit",17447070,3,0,0,NA,0,10,1,0,1482,1,42335,42335,42335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10788,470,534,19,142,0,142,142,0,0,0,10479431,10479431,0,0,0,10479431,73799,73799,NA,NA,NA,50,0,50,50,0,0,0,4300397,4300397,0,0,0,4300397,86008,86008,NA,NA,NA,46,0,46,46,0,0,0,3390084,3390084,0,0,0,3390084,73697,73697,NA,NA,NA,40,0,40,40,0,0,0,2470219,2470219,0,0,0,2470219,61755,61755,NA,NA,NA,6,0,6,6,0,0,0,318731,318731,0,0,0,318731,53122,53122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,0,0,33,29,58,18,43,3,62,0,17,16,2,15248144,0,0,1715966,3567560,2972689,1003133,2892258,179877,1510757,0,588068,764276,53560,300,0.5255,"Positive"
"629","Worcester Polytechnic Institute","MA","Waiting to decide","Worcester",1,0,1,1,1,13,1,"Worcester",2,10584,1276,519631000,260721000,283885000,356005000,171126000,661126000,"Private non-profit",15858000,0,0,1,1,1,11,1,0,2240,1,49860,49860,49860,27234,27234,27234,6874,4668,2206,5371,4527,844,1503,141,1362,40,64,653,0,0,653,436,128,128,308,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94895,6640,10713,738,400,0,400,377,14,4,5,45378983,41323858,2798173,486730,770222,44818025,112045,109612,199870,121683,154044,98,0,98,85,11,1,1,16712999,13752138,2328308,224513,408040,16337297,166707,161790,211664,224513,408040,95,0,95,92,2,1,0,10840770,10385070,353166,102534,0,10786792,113545,112881,176583,102534,NA,56,0,56,56,0,0,0,5841480,5841480,0,0,0,5841480,104312,104312,NA,NA,NA,151,0,151,144,1,2,4,11983734,11345170,116699,159683,362182,11852456,78493,78786,116699,79842,90546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,812,41,0,35,126,108,101,122,7,94,0,155,23,0,58269573,1993020,0,2453273,18772188,7443379,7801919,7045942,415997,4466995,0,6492450,1384410,0,5314,0.9981,"Positive"
